Time (sec.), Cycles, "value_state"
1.532166540, 153216654, -0.666000187
1.542169000, 154216900, -0.664953351
1.552165960, 155216596, -0.663898289
1.562167180, 156216718, -0.662834883
1.572165530, 157216553, -0.661763132
1.582162980, 158216298, -0.660683036
1.592161980, 159216198, -0.659594536
1.602161130, 160216113, -0.658497572
1.612161600, 161216160, -0.657392085
1.622160560, 162216056, -0.656278074
1.632161910, 163216191, -0.655155540
1.642162230, 164216223, -0.654024363
1.652160950, 165216095, -0.652884603
1.662161880, 166216188, -0.651736140
1.672161820, 167216182, -0.650578976
1.682171780, 168217178, -0.649413049
1.692172670, 169217267, -0.648238361
1.702170510, 170217051, -0.647054851
1.712171160, 171217116, -0.645862460
1.722172470, 172217247, -0.644661188
1.732162080, 173216208, -0.643450975
1.742162880, 174216288, -0.642231822
1.752161670, 175216167, -0.641003609
1.762162600, 176216260, -0.639766395
1.772160670, 177216067, -0.638520062
1.782162630, 178216263, -0.637264609
1.792163140, 179216314, -0.635999978
1.802163300, 180216330, -0.634726167
1.812162660, 181216266, -0.633443117
1.822163060, 182216306, -0.632150769
1.832161680, 183216168, -0.630849063
1.842165680, 184216568, -0.629538000
1.852167650, 185216765, -0.628217578
1.862167790, 186216779, -0.626887679
1.872166870, 187216687, -0.625548303
1.882166760, 188216676, -0.624199390
1.892167300, 189216730, -0.622840941
1.902167520, 190216752, -0.621472895
1.912167360, 191216736, -0.620095193
1.922167390, 192216739, -0.618707836
1.932166770, 193216677, -0.617310703
1.942166630, 194216663, -0.615903854
1.952165100, 195216510, -0.614487171
1.962166270, 196216627, -0.613060653
1.972161080, 197216108, -0.611624241
1.982161040, 198216104, -0.610177875
1.992159270, 199215927, -0.608721554
2.002161530, 200216153, -0.607255220
2.012162100, 201216210, -0.605778813
2.022161940, 202216194, -0.604292333
2.032161760, 203216176, -0.602795720
2.042163570, 204216357, -0.601288915
2.052160860, 205216086, -0.599771917
2.062162710, 206216271, -0.598244607
2.072164410, 207216441, -0.596707046
2.082172010, 208217201, -0.595159113
2.092169610, 209216961, -0.593600810
2.102171040, 210217104, -0.592032075
2.112172080, 211217208, -0.590452850
2.122171720, 212217172, -0.588863075
2.132162050, 213216205, -0.587262750
2.142161530, 214216153, -0.585651815
2.152163510, 215216351, -0.584030271
2.162162380, 216216238, -0.582397997
2.172162110, 217216211, -0.580754995
2.182160650, 218216065, -0.579101264
2.192163320, 219216332, -0.577436686
2.202162690, 220216269, -0.575761259
